Date,Close/Last,Volume,Open,High,Low
02/26/2021,$108.03,15122850,$104.15,$109.48,$103.68
02/25/2021,$103.47,7534020,$104.00,$105.77,$103.11
02/24/2021,$104.38,7542690,$101.16,$104.51,$100.60
02/23/2021,$101.37,8740260,$103.34,$103.34,$99.93
02/22/2021,$101.81,5211754,$102.99,$102.99,$101.75
02/19/2021,$103.37,4129146,$104.75,$105.28,$103.22
02/18/2021,$104.97,4098865,$103.775,$105.34,$103.41
02/17/2021,$104.44,5735722,$105.105,$105.46,$104.15
02/16/2021,$106.15,4928053,$104.88,$106.59,$104.70
02/12/2021,$105.30,3169814,$105.74,$105.94,$104.72
02/11/2021,$105.86,2976042,$106.115,$106.23,$105.03
02/10/2021,$105.87,4293184,$106.78,$106.90,$104.93
02/09/2021,$106.22,4095226,$106.00,$106.83,$105.22
02/08/2021,$106.26,4836631,$106.42,$106.53,$105.34
